id	status	create_by	create_time	update_by	update_time	dict_id	item_text	item_value	remark	item_sort			
230104184305563	1	230104184305563	4/22/2025 16:38	230104184305563	4/22/2025 16:38	702438133685424000	uuid	通用唯一标识符	通用唯一标识符（128 位全局唯一值，如?123e4567-e89b-12d3-a456-42661417400）	1			
230104184305563	1	230104184305563	4/22/2025 16:38	230104184305563	4/22/2025 16:38	702438133685424000	integer	"整数,int、int4"	有符号四字节整数	2			
230104184305563	1	230104184305563	4/22/2025 16:38	230104184305563	4/22/2025 16:38	702438133685424000	bigint	"有符号八字节整数,int8"	有符号八字节整数	3			
230104184305563	1	230104184305563	4/22/2025 16:38	230104184305563	4/22/2025 16:38	702438133685424000	double precision	"双精度浮点数,float8"	双精度浮点数（8 字节，约 15 位有效数字）	4			
230104184305563	1	230104184305563	4/22/2025 16:38	230104184305563	4/22/2025 16:38	702438133685424000	bit	"固定长度位字符串（n 为长度，默认 1，不足补 0）,bit[(n)]"	固定长度位字符串（n 为长度，默认 1，不足补 0）	5			
230104184305563	1	230104184305563	4/22/2025 16:38	230104184305563	4/22/2025 16:38	702438133685424000	bit varying	"可变长度位字符串（n 为最大长度，超过报错）,varbit[(n)]"	可变长度位字符串（n 为最大长度，超过报错）	6			
230104184305563	1	230104184305563	4/22/2025 16:38	230104184305563	4/22/2025 16:38	702438133685424000	boolean	"逻辑布尔值（true/false）,bool"	逻辑布尔值（true/false）	7			
230104184305563	1	230104184305563	4/22/2025 16:38	230104184305563	4/22/2025 16:38	702438133685424000	character	"固定长度字符串,char[(n)]"	固定长度字符串（不足补空格，n 为长度）	8			
230104184305563	1	230104184305563	4/22/2025 16:38	230104184305563	4/22/2025 16:38	702438133685424000	character varying	"可变长度字符串,varchar[(n)]"	可变长度字符串（n 为最大长度）	9			
230104184305563	1	230104184305563	4/22/2025 16:38	230104184305563	4/22/2025 16:38	702438133685424000	text	可变长度字符串	可变长度字符串（无长度限制，存储大文本）	10			
